arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
imbens/exceptions.py,function,,raise_isinstance_error,A,1,11,14
imbens/pipeline.py,function,,make_pipeline,A,1,448,492
imbens/pipeline.py,method,Pipeline,fit_predict,A,1,391,424
imbens/datasets/_imbalance.py,function,,generate_imbalance_data,A,1,120,178
imbens/datasets/_openml.py,function,,_save_data,A,1,37,38
imbens/datasets/_openml.py,function,,_load_data,A,1,41,43
imbens/datasets/_openml.py,function,,_standardize_numeric,A,1,64,67
imbens/datasets/_openml.py,function,,_cat_drop,A,1,91,92
imbens/datasets/_openml.py,function,,_cat_onehot,A,1,95,97
imbens/datasets/_openml.py,function,,_cat_ordinal,A,1,100,103
imbens/datasets/tests/test_imbalance.py,function,,iris,A,1,16,17
imbens/datasets/tests/test_imbalance.py,function,,test_make_imbalance_error,A,1,28,33
imbens/datasets/tests/test_imbalance.py,function,,test_make_imbalance_error_single_class,A,1,36,40
imbens/datasets/tests/test_zenodo.py,function,,fetch,A,1,46,47
imbens/datasets/tests/test_zenodo.py,function,,test_fetch_error,A,1,98,100
imbens/ensemble/base.py,function,,sort_dict_by_key,A,1,139,141
imbens/ensemble/base.py,function,,_estimator_has,A,1,496,510
imbens/ensemble/base.py,method,_TrainingState,__init__,A,1,90,136
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,random_state,A,1,564,565
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,random_state,A,1,568,569
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,n_jobs,A,1,572,573
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,n_jobs,A,1,576,577
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,verbose,A,1,580,581
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,verbose,A,1,584,585
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,check_x_y_args,A,1,588,589
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,check_x_y_args,A,1,592,593
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,__init__,A,1,595,622
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_validate_y,A,1,624,630
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_fit,A,1,720,722
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,predict,A,1,779,799
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_parallel_args,A,1,893,894
imbens/ensemble/_bagging.py,function,,_generate_bagging_indices,A,1,90,111
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,sampling_strategy,A,1,208,209
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,sampling_strategy,A,1,212,213
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,_sampling_type,A,1,216,217
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,_sampling_type,A,1,220,221
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,_seeds,A,1,242,243
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,_seeds,A,1,246,247
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,__init__,A,1,268,304
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,fit,A,1,584,586
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,predict_proba,A,1,589,590
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,predict_log_proba,A,1,593,594
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,set_params,A,1,596,597
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,__init__,A,1,80,101
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,_validate_and_prepare_data,A,1,383,425
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,_init_ensemble,A,1,437,457
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,fit,A,1,549,551
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,decision_function,A,1,599,600
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,predict_log_proba,A,1,603,604
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,predict_proba,A,1,607,608
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,staged_decision_function,A,1,611,612
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,staged_predict_proba,A,1,615,616
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,__init__,A,1,641,659
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_compute_mult_in_exp_weights_array,A,1,661,669
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_compute_mult_out_exp_weights_array,A,1,671,679
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_preprocess_sample_weight,A,1,681,688
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_init_ensemble,A,1,944,959
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,fit,A,1,1040,1042
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,decision_function,A,1,1090,1091
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,predict_log_proba,A,1,1094,1095
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,predict_proba,A,1,1098,1099
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,staged_decision_function,A,1,1102,1103
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,staged_predict_proba,A,1,1106,1107
imbens/ensemble/tests/test_base_ensemble.py,function,,test_evaluate,A,1,33,42
imbens/ensemble/tests/test_base_ensemble.py,function,,test_evaluate_eval_metrics,A,1,118,138
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,__init__,A,1,164,184
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,decision_function,A,1,359,360
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,predict_log_proba,A,1,363,364
