arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
imbens/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/_version.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_compatible/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_compatible/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_over_sampling/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_over_sampling/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_reweighting/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_reweighting/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_under_sampling/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_under_sampling/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/metrics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/metrics/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_over_sampling/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_over_sampling/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_over_sampling/_smote/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_over_sampling/_smote/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_under_sampling/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_under_sampling/_prototype_generation/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_under_sampling/_prototype_generation/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_under_sampling/_prototype_selection/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/sampler/_under_sampling/_prototype_selection/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/utils/tests/test_deprecation.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
imbens/utils/tests/test_testing.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
