arquivo,mi,rank_mi
imbens/utils/_validation_param.py,18.5598,B
imbens/ensemble/_boost.py,30.1831,A
imbens/ensemble/_bagging.py,35.9786,A
imbens/ensemble/base.py,36.5918,A
imbens/visualizer/visualizer.py,37.7526,A
imbens/utils/tests/test_validation.py,38.1342,A
imbens/ensemble/_under_sampling/tests/test_balance_cascade.py,40.1774,A
imbens/utils/_validation.py,40.282,A
imbens/utils/estimator_checks.py,42.6981,A
imbens/sampler/_over_sampling/_smote/tests/test_kmeans_smote.py,43.4028,A
imbens/metrics/tests/test_classification.py,43.6225,A
imbens/ensemble/_under_sampling/balanced_random_forest.py,43.736,A
imbens/ensemble/_under_sampling/tests/test_self_paced_ensemble.py,44.226,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_self_paced_under_sampler.py,44.2833,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_repeated_edited_nearest_neighbours.py,44.4182,A
imbens/utils/tests/test_validation_param.py,45.1747,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_balance_cascade_under_sampler.py,45.2804,A
imbens/metrics/_classification.py,45.409,A
imbens/sampler/_over_sampling/tests/test_random_over_sampler.py,45.8806,A
imbens/utils/_docstring.py,45.9507,A
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,46.6216,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,47.3155,A
imbens/pipeline.py,48.4574,A
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,48.6764,A
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,48.8424,A
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,48.861,A
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,49.682,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_nearmiss.py,49.7949,A
imbens/datasets/_openml.py,49.9312,A
imbens/sampler/tests/test_base_sampler.py,50.3344,A
imbens/sampler/_under_sampling/_prototype_selection/_self_paced_under_sampler.py,50.6825,A
imbens/utils/_plot.py,52.8315,A
imbens/sampler/_over_sampling/_smote/tests/test_svm_smote.py,52.8992,A
imbens/ensemble/_compatible/bagging_compatible.py,53.5154,A
imbens/ensemble/_under_sampling/tests/test_balanced_random_forest.py,53.6814,A
imbens/ensemble/_reweighting/tests/test_asymmetric_boost.py,53.9898,A
imbens/sampler/_under_sampling/_prototype_selection/_edited_nearest_neighbours.py,54.0124,A
imbens/utils/tests/test_show_versions.py,54.0211,A
imbens/sampler/_over_sampling/_smote/tests/test_smote.py,54.033,A
imbens/sampler/_under_sampling/_prototype_generation/tests/test_cluster_centroids.py,54.3275,A
imbens/ensemble/_reweighting/tests/test_adacost.py,54.8534,A
imbens/sampler/_over_sampling/_smote/tests/test_borderline_smote.py,55.0952,A
imbens/sampler/_over_sampling/tests/test_adasyn.py,55.2587,A
imbens/ensemble/_reweighting/tests/test_adauboost.py,55.306,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_edited_nearest_neighbours.py,55.8188,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_random_under_sampler.py,55.8233,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_instance_hardness_threshold.py,55.9673,A
imbens/utils/tests/test_estimator_checks.py,56.1429,A
imbens/sampler/_under_sampling/_prototype_selection/tests/test_one_sided_selection.py,56.7289,A
imbens/sampler/_over_sampling/_smote/cluster.py,57.9253,A
imbens/sampler/base.py,58.2045,A
