arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
imbens/exceptions.py,1,1.0,1,1,A,,raise_isinstance_error,11
imbens/ensemble/_over_sampling/over_bagging.py,4,1.0,1,4,A,OverBaggingClassifier,__init__,181
imbens/ensemble/_over_sampling/over_boost.py,2,1.0,1,2,A,OverBoostClassifier,__init__,151
imbens/ensemble/_under_sampling/rus_boost.py,2,1.0,1,2,A,RUSBoostClassifier,__init__,155
imbens/ensemble/_under_sampling/under_bagging.py,2,1.0,1,2,A,UnderBaggingClassifier,__init__,187
imbens/sampler/_over_sampling/_smote/tests/test_borderline_smote.py,3,1.0,1,3,A,,data,12
imbens/sampler/_over_sampling/_smote/tests/test_svm_smote.py,3,1.0,1,3,A,,data,14
imbens/sampler/_under_sampling/_prototype_selection/tests/test_neighbourhood_cleaning_rule.py,3,1.0,1,3,A,,test_ncr_error,42
imbens/utils/tests/test_deprecation.py,2,1.0,1,2,A,,test_deprecate_parameter,17
imbens/utils/tests/test_plot.py,3,1.0,1,3,A,,test_plot_scatter,38
imbens/visualizer/tests/test_visualizer.py,4,1.0,1,4,A,,test_performance_curve,69
imbens/ensemble/_reweighting/adacost.py,5,1.2,2,6,A,AdaCostClassifier,_cost_matrix_to_misclassification_weights,187
imbens/sampler/_under_sampling/_prototype_selection/tests/test_allknn.py,5,1.2,2,6,A,,test_all_knn_allow_minority,175
imbens/sampler/_over_sampling/tests/test_adasyn.py,4,1.25,2,5,A,,test_ada_init,44
imbens/utils/tests/test_estimator_checks.py,15,1.47,5,22,A,,test_all_samplers,131
imbens/ensemble/tests/test_base_ensemble.py,4,1.5,2,6,A,,test_evaluate_verbose,49
imbens/ensemble/_over_sampling/kmeans_smote_boost.py,2,1.5,2,3,A,KmeansSMOTEBoostClassifier,__init__,177
imbens/ensemble/_over_sampling/smote_bagging.py,2,1.5,2,3,A,SMOTEBaggingClassifier,__init__,187
imbens/ensemble/_over_sampling/smote_boost.py,2,1.5,2,3,A,SMOTEBoostClassifier,__init__,159
imbens/sampler/_over_sampling/_smote/tests/test_smote.py,4,1.5,3,6,A,,test_smote_m_neighbors,161
imbens/sampler/_under_sampling/_prototype_selection/tests/test_condensed_nearest_neighbour.py,4,1.5,3,6,A,,test_cnn_init,41
imbens/sampler/_under_sampling/_prototype_selection/tests/test_tomek_links.py,2,1.5,2,3,A,,test_tl_init,38
imbens/ensemble/_reweighting/asymmetric_boost.py,5,1.6,3,8,A,AsymBoostClassifier,fit,224
imbens/sampler/_under_sampling/_prototype_selection/_balance_cascade_under_sampler.py,8,1.62,6,13,B,BalanceCascadeUnderSampler,_fit_resample,171
imbens/metrics/tests/test_score_objects.py,3,1.67,2,5,A,,test_scorer_common_average,39
imbens/sampler/_under_sampling/_prototype_selection/tests/test_edited_nearest_neighbours.py,6,1.67,4,10,A,,test_enn_init,41
imbens/ensemble/_under_sampling/self_paced_ensemble.py,4,1.75,3,7,A,SelfPacedEnsembleClassifier,_fit,248
imbens/sampler/_under_sampling/_prototype_selection/tests/test_nearmiss.py,4,1.75,2,7,A,,test_nm_fit_resample_auto,58
imbens/sampler/_under_sampling/_prototype_selection/tests/test_one_sided_selection.py,4,1.75,4,7,A,,test_oss_init,36
imbens/utils/tests/test_docstring.py,4,1.75,3,7,A,,test_docstring_template,66
imbens/utils/tests/test_validation.py,25,1.76,6,44,B,,test_check_neighbors_object,26
