arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
imbens/exceptions.py,function,,raise_isinstance_error,A,1,11,14
imbens/pipeline.py,function,,make_pipeline,A,1,448,492
imbens/pipeline.py,method,Pipeline,fit_predict,A,1,391,424
imbens/datasets/_imbalance.py,function,,generate_imbalance_data,A,1,120,178
imbens/datasets/_openml.py,function,,save_data,A,1,70,71
imbens/datasets/_openml.py,function,,load_data,A,1,74,78
imbens/datasets/tests/test_imbalance.py,function,,iris,A,1,16,17
imbens/datasets/tests/test_imbalance.py,function,,test_make_imbalance_error,A,1,28,33
imbens/datasets/tests/test_imbalance.py,function,,test_make_imbalance_error_single_class,A,1,36,40
imbens/datasets/tests/test_zenodo.py,function,,fetch,A,1,46,47
imbens/datasets/tests/test_zenodo.py,function,,test_fetch_error,A,1,98,100
imbens/ensemble/base.py,function,,sort_dict_by_key,A,1,58,60
imbens/ensemble/base.py,function,,_estimator_has,A,1,417,431
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,__init__,A,1,484,509
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_validate_y,A,1,511,517
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_fit,A,1,605,607
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,predict,A,1,664,684
imbens/ensemble/base.py,method,BaseImbalancedEnsemble,_parallel_args,A,1,778,779
imbens/ensemble/_bagging.py,function,,_generate_bagging_indices,A,1,89,110
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,__init__,A,1,204,238
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,fit,A,1,509,511
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,predict_proba,A,1,514,515
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,predict_log_proba,A,1,518,519
imbens/ensemble/_bagging.py,method,ResampleBaggingClassifier,set_params,A,1,521,522
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,__init__,A,1,80,101
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,fit,A,1,543,545
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,decision_function,A,1,593,594
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,predict_log_proba,A,1,597,598
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,predict_proba,A,1,601,602
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,staged_decision_function,A,1,605,606
imbens/ensemble/_boost.py,method,ResampleBoostClassifier,staged_predict_proba,A,1,609,610
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,__init__,A,1,635,652
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_compute_mult_in_exp_weights_array,A,1,655,663
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_compute_mult_out_exp_weights_array,A,1,665,673
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,_preprocess_sample_weight,A,1,675,682
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,fit,A,1,1006,1008
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,decision_function,A,1,1056,1057
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,predict_log_proba,A,1,1060,1061
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,predict_proba,A,1,1064,1065
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,staged_decision_function,A,1,1068,1069
imbens/ensemble/_boost.py,method,ReweightBoostClassifier,staged_predict_proba,A,1,1072,1073
imbens/ensemble/tests/test_base_ensemble.py,function,,test_evaluate,A,1,33,42
imbens/ensemble/tests/test_base_ensemble.py,function,,test_evaluate_eval_metrics,A,1,118,138
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,__init__,A,1,161,182
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,decision_function,A,1,348,349
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,predict_log_proba,A,1,352,353
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,predict_proba,A,1,356,357
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,staged_decision_function,A,1,360,361
imbens/ensemble/_compatible/adaboost_compatible.py,method,CompatibleAdaBoostClassifier,staged_predict_proba,A,1,364,365
imbens/ensemble/_compatible/bagging_compatible.py,method,CompatibleBaggingClassifier,__init__,A,1,198,229
imbens/ensemble/_compatible/bagging_compatible.py,method,CompatibleBaggingClassifier,predict_proba,A,1,428,429
imbens/ensemble/_compatible/bagging_compatible.py,method,CompatibleBaggingClassifier,predict_log_proba,A,1,432,433
imbens/ensemble/_compatible/bagging_compatible.py,method,CompatibleBaggingClassifier,set_params,A,1,435,436
imbens/ensemble/_compatible/tests/test_adabost_compatible.py,function,,imbalanced_dataset,A,1,22,33
imbens/ensemble/_compatible/tests/test_adabost_compatible.py,function,,test_adaboost_sample_weight,A,1,77,93
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_probability,A,1,132,155
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_single_estimator,A,1,199,221
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_gridsearch,A,1,224,238
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_bagging_with_pipeline,A,1,270,281
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_warm_start_smaller_n_estimators,A,1,312,319
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_warm_start_equal_n_estimators,A,1,322,337
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_warm_start_equivalence,A,1,340,360
imbens/ensemble/_compatible/tests/test_bagging_compatible.py,function,,test_warm_start_with_oob_score_fails,A,1,363,368
