arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
imbens/exceptions.py,funcao,raise_isinstance_error,0,0,0,0,0,0,0,0,0,0,0,0
imbens/pipeline.py,funcao,_validate_steps,9,29,19,35,38,54,169.4108,283.3881,5.431,1539.0905,85.505,0.0945
imbens/pipeline.py,funcao,_iter,2,2,2,2,4,4,4.0,8.0,1.0,8.0,0.4444,0.0027
imbens/pipeline.py,funcao,_check_fit_params,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
imbens/pipeline.py,funcao,_fit,3,8,6,12,11,18,28.7549,62.2698,2.25,140.107,7.7837,0.0208
imbens/pipeline.py,funcao,fit,5,6,5,9,11,14,27.1194,48.432,3.75,181.6202,10.09,0.0161
imbens/pipeline.py,funcao,fit_transform,3,4,3,5,7,8,12.7549,22.4588,1.875,42.1103,2.3395,0.0075
imbens/pipeline.py,funcao,fit_resample,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
imbens/pipeline.py,funcao,fit_predict,2,2,4,5,4,9,4.0,18.0,2.5,45.0,2.5,0.006
imbens/pipeline.py,funcao,_fit_resample_one,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/pipeline.py,funcao,make_pipeline,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/_imbalance.py,funcao,make_imbalance,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/datasets/_imbalance.py,funcao,generate_imbalance_data,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/_openml.py,funcao,_fetch_openml_data,8,22,15,27,30,42,122.1075,206.0894,4.9091,1011.7116,56.2062,0.0687
imbens/datasets/_openml.py,funcao,fetch_openml_datasets,3,9,7,14,12,21,33.2842,75.2842,2.3333,175.6632,9.7591,0.0251
imbens/datasets/_zenodo.py,funcao,fetch_zenodo_datasets,9,19,13,23,28,36,109.2399,173.0648,5.4474,942.7476,52.3749,0.0577
imbens/datasets/tests/test_imbalance.py,funcao,iris,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/tests/test_imbalance.py,funcao,test_make_imbalance_error,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/tests/test_imbalance.py,funcao,test_make_imbalance_error_single_class,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/tests/test_imbalance.py,funcao,test_make_imbalance_dict,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/datasets/tests/test_imbalance.py,funcao,test_make_imbalanced_iris,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/datasets/tests/test_zenodo.py,funcao,fetch,0,0,0,0,0,0,0,0,0,0,0,0
imbens/datasets/tests/test_zenodo.py,funcao,test_fetch,1,4,4,8,5,12,8.0,27.8631,1.0,27.8631,1.548,0.0093
imbens/datasets/tests/test_zenodo.py,funcao,test_fetch_filter,1,6,5,10,7,15,15.5098,42.1103,0.8333,35.0919,1.9496,0.014
imbens/datasets/tests/test_zenodo.py,funcao,test_fetch_error,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,sort_dict_by_key,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,_evaluate,2,5,4,7,7,11,13.6096,30.8809,1.4,43.2333,2.4018,0.0103
imbens/ensemble/base.py,funcao,_init_training_log_format,2,11,7,14,13,21,40.0537,77.7092,1.2727,98.9027,5.4946,0.0259
imbens/ensemble/base.py,funcao,_training_log_add_block,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/ensemble/base.py,funcao,_training_log_add_line,1,5,4,8,6,12,11.6096,31.0196,0.8,24.8156,1.3786,0.0103
imbens/ensemble/base.py,funcao,_training_log_to_console_head,1,7,5,10,8,15,19.6515,45.0,0.7143,32.1429,1.7857,0.015
imbens/ensemble/base.py,funcao,_training_log_to_console,4,9,6,11,13,17,36.5293,62.9075,2.4444,153.7738,8.543,0.021
imbens/ensemble/base.py,funcao,_training_log_to_console_iterative,4,10,9,18,14,27,41.2193,102.7986,3.6,370.0749,20.5597,0.0343
imbens/ensemble/base.py,funcao,_training_log_to_console_parallel,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,_estimator_has,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/ensemble/base.py,funcao,_parallel_decision_function,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,_validate_y,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,_validate_estimator,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
imbens/ensemble/base.py,funcao,_make_sampler,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
imbens/ensemble/base.py,funcao,fit,6,9,7,13,15,20,44.0391,78.1378,4.3333,338.5972,18.811,0.026
imbens/ensemble/base.py,funcao,_fit,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,predict_proba,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
imbens/ensemble/base.py,funcao,predict,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/base.py,funcao,decision_function,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
imbens/ensemble/base.py,funcao,feature_importances_,5,12,6,12,17,18,54.6292,73.5743,2.5,183.9358,10.2187,0.0245
imbens/ensemble/base.py,funcao,_parallel_args,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_bagging.py,funcao,_generate_indices,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_bagging.py,funcao,_generate_bagging_indices,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_bagging.py,funcao,_parallel_build_estimators,6,11,8,15,17,23,53.5635,94.0116,4.0909,384.5931,21.3663,0.0313
imbens/ensemble/_bagging.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_bagging.py,funcao,_validate_y,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
imbens/ensemble/_bagging.py,funcao,_validate_estimator,5,11,6,11,16,17,49.6634,68.0,2.5,170.0,9.4444,0.0227
imbens/ensemble/_bagging.py,funcao,_fit,13,34,28,48,47,76,221.0795,422.1488,9.1765,3873.8356,215.2131,0.1407
imbens/ensemble/_bagging.py,funcao,fit,0,0,0,0,0,0,0,0,0,0,0,0
imbens/ensemble/_bagging.py,funcao,predict_proba,0,0,0,0,0,0,0,0,0,0,0,0
